"participant_ID","text_file","error","construct","dimension","unit","evidence_source","column","rater_1","rater_2","value_rater_1","value_rater_2"
"ILA1_I","./data/processed/exercises/ILA1_I_E04.txt","punto de (partido) [partida]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"ILA1_I","./data/processed/exercises/ILA1_I_E05.txt","La IA puede analizar datos personales de salud y actividad física para ofrecer recomendaciones de entreno personalizadas (sino también) [y] consejos sobre nutrición y prevención de lesiones.","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"FGC1_I","./data/processed/exercises/FGC1_I_E02.txt","(taréa) [tarea]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FGC1_I","./data/processed/exercises/FGC1_I_E06.txt","Este fenómeno, que se produce al (transitar) [cubrir] la luna (por delante de) el sol","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FGC1_I","./data/processed/exercises/FGC1_I_E08.txt","este impresionante (espécimen) [fenómeno] celestial","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FGC1_I","./data/processed/exercises/FGC1_I_E11.txt","En el programa radiofónico (se ha tratado de) [se han tratado] las ventajas cognitivas de los bilingües","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FGC1_I","./data/processed/exercises/FGC1_I_E13.txt","(tardar) [retrasar] enfermedades","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"RCS1_I","./data/processed/exercises/RCS1_I_E08.txt","(También,) [Además, ] menciona los principios","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"RUE1_I","./data/processed/exercises/RUE1_I_E01.txt","(También,) [Además, ]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"RUE1_I","./data/processed/exercises/RUE1_I_E09.txt","(auto declarados) [autodeclarados]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"RUE1_I","./data/processed/exercises/RUE1_I_E11.txt","la mayor fuente de investigación (llega al) [proviene del] cuestionario","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"RUE1_I","./data/processed/exercises/RUE1_I_E14.txt","reacciones (en persona) [cara a cara]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"RGH1_I","./data/processed/exercises/RGH1_I_E03.txt","(porque) [por qué]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"RGH1_I","./data/processed/exercises/RGH1_I_E06.txt","nos permite (a) evaluar","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"RGH1_I","./data/processed/exercises/RGH1_I_E09.txt","(tambien) [también]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"RGH1_I","./data/processed/exercises/RGH1_I_E15.txt","(un) [una] parte","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FMH1_I","./data/processed/exercises/FMH1_I_E04.txt","(este) [ese] trágico mes de marzo del año 2011","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"FMH1_I","./data/processed/exercises/FMH1_I_E10.txt","destruyendo todo (en su camino) [a su paso]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FMH1_I","./data/processed/exercises/FMH1_I_E14.txt","enfermedades (neurologías) [neurológicas]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"RBI1_I","./data/processed/exercises/RBI1_I_E07.txt","(me) he hecho muchos amigos","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"RHK1_I","./data/processed/exercises/RHK1_I_E10.txt","(especificas) [específicas]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FEM1_I","./data/processed/exercises/FEM1_I_E03.txt","(porque) [por qué]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FEM1_I","./data/processed/exercises/FEM1_I_E06.txt","la tasa más (fuerte) [elevada] / (pasar) [aprobar] una ley","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FEM1_I","./data/processed/exercises/FEM1_I_E07.txt","no es solamente esencial, (pero) [sino que] es también fundamental","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FEM1_I","./data/processed/exercises/FEM1_I_E10.txt","el artículo se enfoca (sobre) [en] la situación / es fundamental (a) [para] / nos falta (de) contexto","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FEM1_I","./data/processed/exercises/FEM1_I_E12.txt","(pasarse) [ocurrir]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FEM1_I","./data/processed/exercises/FEM1_I_E14.txt","(sea) [esté] más impactado","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"RRN1_I","./data/processed/exercises/RRN1_I_E04.txt","ha (escrito) [descrito]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FKN1_I","./data/processed/exercises/FKN1_I_E01.txt","(utilizó) [utilizo]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"FKN1_I","./data/processed/exercises/FKN1_I_E11.txt","(realizar) [darse cuenta de] la urgencia del problema","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"RCO1_I","./data/processed/exercises/RCO1_I_E02.txt","esos niños (fueron nacidos) [nacieron]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"RCO1_I","./data/processed/exercises/RCO1_I_E05.txt","tenemos en cuenta (de) que","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"RCO1_I","./data/processed/exercises/RCO1_I_E08.txt","(es) [está] bien escrito","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"FLR1_I","./data/processed/exercises/FLR1_I_E04.txt","(número) [tasa]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FLR1_I","./data/processed/exercises/FLR1_I_E09.txt","estar (seguro) [claro]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FLR1_I","./data/processed/exercises/FLR1_I_E11.txt","la capacidad (a) [de] actuar","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"FLR1_I","./data/processed/exercises/FLR1_I_E13.txt","ser (quitado) [arrebatado]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FLR1_I","./data/processed/exercises/FLR1_I_E15.txt","influir (a su nivel) [dentro de sus posibilidades]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"FTR1_I","./data/processed/exercises/FTR1_I_E04.txt","(exprimir) [explicar]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FTR1_I","./data/processed/exercises/FTR1_I_E07.txt","(del) [de lo] primitivo y (del) [de lo] eterno","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FTR1_I","./data/processed/exercises/FTR1_I_E08.txt","en la vida me (gusta) [gustan] la moda, la fotografía, los deportes y los viajes","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FTR1_I","./data/processed/exercises/FTR1_I_E09.txt","tengo (una) cierta facilidad para expresarme / la misma línea psicológica (con) [que] el estilo","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FCY1_I","./data/processed/exercises/FCY1_I_E09.txt","(jovenes) [jóvenes]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",1,0
"FCY1_I","./data/processed/exercises/FCY1_I_E13.txt","mala (habitud) [costumbre]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
"FGC2_S","./data/processed/exercises/FGC2_S_E02.txt","Empecé a jugar al fútbol en 2007, en un equipo local, fue muy (rápido) [pronto]","LIL","motivation","learner_response","learner_response","goal_aligned","original","rater_2",0,1
